,q1,q2
257,notum çok düşük geldi itiraz etmek istiyorum,Sınav puanıma nasıl itiraz ederim?
258,Dönem not ortalaması (semester GPA) nedir?,dönem not ortalaması nedir
259,Dönem not ortalaması (semester GPA) nedir?,Dönem not ortalaması ne demektir?
260,dönem not ortalaması nedir,Dönem not ortalaması ne demektir?
261,Genel Not Ortalaması (GPA) nedir?,genel not oratalaması nedir
262,Genel Not Ortalaması (GPA) nedir?,Genel not ortalaması ne demektir?
263,genel not oratalaması nedir,Genel not ortalaması ne demektir?
264,Tek ders sınavı nedir?,tek ders sınav hakkım var mı
265,Tek ders sınavı nedir?,Hangi durumlarda tek ders sınavına girebilirim?
266,tek ders sınav hakkım var mı,Hangi durumlarda tek ders sınavına girebilirim?
267,Ortalama yükseltme sınavı nedir?,ortalama yükseltmek için bir sınav var mı
268,Ortalama yükseltme sınavı nedir?,Ortalama yükseltme sınavı ne demektir?
269,ortalama yükseltmek için bir sınav var mı,Ortalama yükseltme sınavı ne demektir?
270,Sınamalı (“on probation”) durumdaki öğrenci kimdir?,sınamalı öğrenci ne demek
271,Sınamalı (“on probation”) durumdaki öğrenci kimdir?,Sınamalı öğrenci ne demektir?
272,sınamalı öğrenci ne demek,Sınamalı öğrenci ne demektir?
273,Başarısız (“unsatisfactory”) durumdaki öğrenci kimdir?,başarısız öğrenci durumu nedir 
274,Başarısız (“unsatisfactory”) durumdaki öğrenci kimdir?,Başarısız durumundaki öğrenci nedir?
275,başarısız öğrenci durumu nedir ,Başarısız durumundaki öğrenci nedir?
276,Mezuniyet şartları nelerdir?,mezun olmak için gereken şartlar nedir
277,Mezuniyet şartları nelerdir?,Mezuniyet koşulları nelerdir?
278,mezun olmak için gereken şartlar nedir,Mezuniyet koşulları nelerdir?
279,Diplomamı ne zaman ve nereden alabilirim?,diplomamı nasıl alırım
280,Diplomamı ne zaman ve nereden alabilirim?,Ne zaman diplomamı alabilirim?
281,diplomamı nasıl alırım,Ne zaman diplomamı alabilirim?
282,Diplomamı benim yerime bir başkası alabilir mi?,diplomamı başka biri alabilir mi
283,Diplomamı benim yerime bir başkası alabilir mi?,Başka biri diplomamı alabilir mi ?
284,diplomamı başka biri alabilir mi,Başka biri diplomamı alabilir mi ?
285,Diploma Eki nedir  nasıl alabilirim?,diploma eki ne anlama geliyor
286,Diploma Eki nedir  nasıl alabilirim?,Diploma eki ne demektir?
287,diploma eki ne anlama geliyor,Diploma eki ne demektir?
288,Diplomamı kaybettim  yeni diploma alabilir miyim?,diplamamı bulamıyorum tekrar alabilir miyim
289,Diplomamı kaybettim  yeni diploma alabilir miyim?,Diplomam kayboldu ne yapabilirim?
290,diplamamı bulamıyorum tekrar alabilir miyim,Diplomam kayboldu ne yapabilirim?
291,Mezuniyet başarı sıralamamı öğrenebilir miyim?,mezuniyet sıramı nasıl öğrenebilirim
292,Mezuniyet başarı sıralamamı öğrenebilir miyim?,Mezuniyet başarımı öğrenebilir miyim?
293,mezuniyet sıramı nasıl öğrenebilirim,Mezuniyet başarımı öğrenebilir miyim?
294,Onur ve Yüksek Onur Listesi nedir  nasıl girebilirim?,yüksek onur listesi nedir
295,Onur ve Yüksek Onur Listesi nedir  nasıl girebilirim?,Onur ne demektir nasıl onur listesine girilir?
296,yüksek onur listesi nedir,Onur ne demektir nasıl onur listesine girilir?
297,Mezuniyet törenlerine kim katılabilir?,mezuniyet törenlerine katılım nasıl oluyor
298,Mezuniyet törenlerine kim katılabilir?,Mezuniyet törenine katılım şartları nedir?
299,mezuniyet törenlerine katılım nasıl oluyor,Mezuniyet törenine katılım şartları nedir?
300,Üniversitemizde Yaz Okulu / Yaz Okulunda kaç ders alabilirim?,yaz okulunda nasıl dersler açılıyor ve nasıl ders alırım
301,Üniversitemizde Yaz Okulu / Yaz Okulunda kaç ders alabilirim?,Yaz okulunda ders sınırı kaç derstir?
302,yaz okulunda nasıl dersler açılıyor ve nasıl ders alırım,Yaz okulunda ders sınırı kaç derstir?
303,Mezuniyet törenleri ne zaman yapılır?,mezuniyet törenleri hangi dönemde yapılıyor
304,Mezuniyet törenleri ne zaman yapılır?,Hangi dönemde mezuniyet töreni yapılır?
305,mezuniyet törenleri hangi dönemde yapılıyor,Hangi dönemde mezuniyet töreni yapılır?
306,Dışarıdan yaz okulundan nasıl ders alabilirim?,başka üniversitelerden yaz okulu dersi alabilir miyim
307,Dışarıdan yaz okulundan nasıl ders alabilirim?,Yaz okulu dersimi başla üniversiteden alabilir miyim ?
308,başka üniversitelerden yaz okulu dersi alabilir miyim,Yaz okulu dersimi başla üniversiteden alabilir miyim ?
309,Lisansüstü Öğrenci İşleri Ofisi çalışma saatleri nedir?,yüksek lisans öğrenci işleri hangi saatler arasında açık
310,Lisansüstü Öğrenci İşleri Ofisi çalışma saatleri nedir?,Yüksek lisans öğrenci işleri saat kaça kadar açık?
311,yüksek lisans öğrenci işleri hangi saatler arasında açık,Yüksek lisans öğrenci işleri saat kaça kadar açık?
312,Lisansüstü Öğrenci İşleri Ofisi iletişim bilgileri nedir?,lisansüstü öğrenci işlerinin iletişim bilgileri nelerdir
313,Lisansüstü Öğrenci İşleri Ofisi iletişim bilgileri nedir?,Yüksek lisans öğrenci işlerine nasıl ulaşabilirim?
314,lisansüstü öğrenci işlerinin iletişim bilgileri nelerdir,Yüksek lisans öğrenci işlerine nasıl ulaşabilirim?
315,Lisansüstü programlara başvuru süreci nasıl ilerler?,lisansüstü programlarına başvuru nasıl yapılıyor
316,Lisansüstü programlara başvuru süreci nasıl ilerler?,Yüksek lisansa nasıl kayıt olabilriim?
317,lisansüstü programlarına başvuru nasıl yapılıyor,Yüksek lisansa nasıl kayıt olabilriim?
318,Kayıt süreci nasıl ilerler?,kayıt sürecinde ne yapmak gerekiyor
319,Kayıt süreci nasıl ilerler?,Kayıt aşamaları nelerdir?
320,kayıt sürecinde ne yapmak gerekiyor,Kayıt aşamaları nelerdir?
321,Kayıt için gerekli belgeler nelerdir?,kayıt için hangi belgeleri getirmem gerekiyor
322,Kayıt için gerekli belgeler nelerdir?,Kayıt için şart olan belgeler nedir?
323,kayıt için hangi belgeleri getirmem gerekiyor,Kayıt için şart olan belgeler nedir?
324,Kayıt için gerekli belgeleri ofisinize gelemediğim durumlarda nasıl ulaştırabilirim?,kayıt içn gereken belgeleri posta ile ulaştırabilir miyim
325,Kayıt için gerekli belgeleri ofisinize gelemediğim durumlarda nasıl ulaştırabilirim?,Ofise gelmeden belgeleri ulaştırabilirmiyim?
326,kayıt içn gereken belgeleri posta ile ulaştırabilir miyim,Ofise gelmeden belgeleri ulaştırabilirmiyim?
327,Burs olanakları ile ilgili hangi birim ile görüşmeliyim?,burs olanakları için kiminle iletişime geçmem gerekiyor
328,Burs olanakları ile ilgili hangi birim ile görüşmeliyim?,Burs için hangi departman ile iletişime geçmeliyim?
329,burs olanakları için kiminle iletişime geçmem gerekiyor,Burs için hangi departman ile iletişime geçmeliyim?
330,Özel öğrenci olarak belli derslere kayıt yaptırmam mümkün mü?,özel öğrenci statüsü ile bazı derslere kayıt yaptırabilir miyim
331,Özel öğrenci olarak belli derslere kayıt yaptırmam mümkün mü?,Bazı derslere özel öğrenci olarak kayıt yaptırabilirmiyim?
332,özel öğrenci statüsü ile bazı derslere kayıt yaptırabilir miyim,Bazı derslere özel öğrenci olarak kayıt yaptırabilirmiyim?
333,Öğrenci İşleri ofisinden hangi belgeleri alabilirim?,Öğrenci işlerinden ne gibi belgeler alabilirim
334,Öğrenci İşleri ofisinden hangi belgeleri alabilirim?,Öğrenci işlerinden ne tür belgeler alabilirim?
335,Öğrenci işlerinden ne gibi belgeler alabilirim,Öğrenci işlerinden ne tür belgeler alabilirim?
336,Öğrenci belgesi ve not dökümünü (transcript) nasıl talep edebilirim?,öğrenci not dökümü almak istiyorum ne yapmam gerekiyor
337,Öğrenci belgesi ve not dökümünü (transcript) nasıl talep edebilirim?,Transcripti nasıl alabilirim?
338,öğrenci not dökümü almak istiyorum ne yapmam gerekiyor,Transcripti nasıl alabilirim?
339,Belgelerimi benim yerime başka bir kişi alabilir mi?,öğrenci belgemi başka bir arkadaşım alabilir mi
340,Belgelerimi benim yerime başka bir kişi alabilir mi?,Başka biri belgelerimi alabilir mi ?
341,öğrenci belgemi başka bir arkadaşım alabilir mi,Başka biri belgelerimi alabilir mi ?
342,Diplomamı kaybettim  yeni diploma alabilir miyim?,diplomamı kaybettim ne yapmam gerekiyor
343,Diplomamı kaybettim  yeni diploma alabilir miyim?,Diplomam kayboldu ne yapabilirim?
344,diplomamı kaybettim ne yapmam gerekiyor,Diplomam kayboldu ne yapabilirim?
345,Mezuniyet başarı sıralamamı öğrenebilir miyim?,mezuniyet başarı sıramı nasıl öğrenebilirim
346,Mezuniyet başarı sıralamamı öğrenebilir miyim?,Mezuniyet sıralamamı öğrenebilirmiyim?
347,mezuniyet başarı sıramı nasıl öğrenebilirim,Mezuniyet sıralamamı öğrenebilirmiyim?
348,Diploma Eki nedir  nasıl alabilirim?,diploma ekini nasıl alabilirim
349,Diploma Eki nedir  nasıl alabilirim?,Diploma eki ne demektir?
350,diploma ekini nasıl alabilirim,Diploma eki ne demektir?
351,Mezuniyet törenleri ne zaman yapılır ve kimler katılabilir?,mezun töreni ne zaman yapılıyor
352,Mezuniyet törenleri ne zaman yapılır ve kimler katılabilir?,Ne zaman Mezuniyet töreni yapılıyor?
353,mezun töreni ne zaman yapılıyor,Ne zaman Mezuniyet töreni yapılıyor?
354,Ek ücret ödemelerinin yapılacağı hesap bilgileri nelerdir?,ek ücret için hangi hesaba ödeme yapılıyor
355,Ek ücret ödemelerinin yapılacağı hesap bilgileri nelerdir?,Ek ücret ödemesi hangi hesaba yapılır?
356,ek ücret için hangi hesaba ödeme yapılıyor,Ek ücret ödemesi hangi hesaba yapılır?
357,Kredi kartı ile ödemelerde hangi anlaşmalı kartlar geçerlidir?,Kredi kartı geçiyor mu hangi kredi kartları geçerlidir
358,Kredi kartı ile ödemelerde hangi anlaşmalı kartlar geçerlidir?,Hangi anlaşmalı kartlar ile ödeme yapabilirim?
359,Kredi kartı geçiyor mu hangi kredi kartları geçerlidir,Hangi anlaşmalı kartlar ile ödeme yapabilirim?
360,Ek ders almanın mali yükümlülüğü var mıdır?,Ek ders alırsam bir ücret ödüyor muyum
361,Ek ders almanın mali yükümlülüğü var mıdır?,Ek dersin ücreti var mı?
362,Ek ders alırsam bir ücret ödüyor muyum,Ek dersin ücreti var mı?
363,Bir dersten F aldım  bunun için ücret ödeyecek miyim?,dersten F ile kalınca  ücret ödüyor muyum
364,Bir dersten F aldım  bunun için ücret ödeyecek miyim?,F alınan derslere ücret ödeniyor öu ?
365,dersten F ile kalınca  ücret ödüyor muyum,F alınan derslere ücret ödeniyor öu ?
366,Öğrenci kimliğimi kaybettim. Nasıl yenileyebilirim?,öğrenci kimliğimi nasıl yenileyebilirim
367,Öğrenci kimliğimi kaybettim. Nasıl yenileyebilirim?,Öğrenci kartımı kaybettim yenileyebilirmiyim?
368,öğrenci kimliğimi nasıl yenileyebilirim,Öğrenci kartımı kaybettim yenileyebilirmiyim?
369,İETT indirimli seyahat kartı /Paso almak için neler yapmalıyım?,öğrenci pasomu nasıl alabilirim
370,İETT indirimli seyahat kartı /Paso almak için neler yapmalıyım?,Paso nasıl alınır?
371,öğrenci pasomu nasıl alabilirim,Paso nasıl alınır?
372,Talep ettiğim belgeleri ne zaman alabilirim?,belgelerimi ne zaman alırım
373,Talep ettiğim belgeleri ne zaman alabilirim?,Ne zaman belgelerim hazır olur?
374,belgelerimi ne zaman alırım,Ne zaman belgelerim hazır olur?
375,Adres  telefon  vb. bilgilerimde nasıl değişiklik yapabilirim?,iletişim bilgilerimi güncellemek için ne yapmalıyım
376,Adres  telefon  vb. bilgilerimde nasıl değişiklik yapabilirim?,Ulaşım bilgilerimde nasıl değişiklik yapabilirim?
377,iletişim bilgilerimi güncellemek için ne yapmalıyım,Ulaşım bilgilerimde nasıl değişiklik yapabilirim?
378,Almakla yükümlü olduğum kredileri  müfredatı nereden görebilirim?,almam gereken dersleri ve kredileri nereden görebilirim
379,Almakla yükümlü olduğum kredileri  müfredatı nereden görebilirim?,Zorunlu oldugum dersleri nerden görebilirim?
380,almam gereken dersleri ve kredileri nereden görebilirim,Zorunlu oldugum dersleri nerden görebilirim?
381,Derslerin içerikleri hakkında nereden bilgi alabilirim?,derslerin içeriklerine nasıl ulaşırım
382,Derslerin içerikleri hakkında nereden bilgi alabilirim?,Ders içeriklerine nasıl bakabilirim?
383,derslerin içeriklerine nasıl ulaşırım,Ders içeriklerine nasıl bakabilirim?
384,Derslere devam zorunluluğu var mı?,derslerde katılım zorunlu mu
385,Derslere devam zorunluluğu var mı?,Derslere gitmem gerekiyor mu ?
386,derslerde katılım zorunlu mu,Derslere gitmem gerekiyor mu ?
387,Aldığım bir dersten başarısız olursam  ne yapmalıyım?,bir dersten kaldığımda ne yapmam gerekli
388,Aldığım bir dersten başarısız olursam  ne yapmalıyım?,Bi dersten F alırsam ne yapmam gerekiyor?
389,bir dersten kaldığımda ne yapmam gerekli,Bi dersten F alırsam ne yapmam gerekiyor?
390,Daha önceden aldığım ve başarılı olduğum bir dersi tekrar edebilir miyim?,daha önce geçtiğim bir dersi tekrar alabilir miyim
391,Daha önceden aldığım ve başarılı olduğum bir dersi tekrar edebilir miyim?,Geçtiğim dersi bi daha alabilirmiyim?
392,daha önce geçtiğim bir dersi tekrar alabilir miyim,Geçtiğim dersi bi daha alabilirmiyim?
393,Başka bir üniversiteden ders almam mümkün mü?,başka bir üniversiteden nasıl ders alırım
394,Başka bir üniversiteden ders almam mümkün mü?,Dersimi başka üniversiteden alabilir miyim?
395,başka bir üniversiteden nasıl ders alırım,Dersimi başka üniversiteden alabilir miyim?
396,Bir dersin öğretim elemanına nasıl ulaşabilirim?,dersin hocası ile nasıl iletişime geçerim
397,Bir dersin öğretim elemanına nasıl ulaşabilirim?,Dersi veren hocayla nasıl konuşabilrim?
398,dersin hocası ile nasıl iletişime geçerim,Dersi veren hocayla nasıl konuşabilrim?
399,Ders kaydı nasıl yapılır?,ders kayıt süreci nasıl oluyor
400,Ders kaydı nasıl yapılır?,Ders kaydı için ne yapmalıyım?
401,ders kayıt süreci nasıl oluyor,Ders kaydı için ne yapmalıyım?
402,Kayıt olmak istediğim derslerin saatleri çakışıyor  bu derslere kayıt olabilir miyim?,ders kaydımda çakışma olduğunda ne yapmalıyım
403,Kayıt olmak istediğim derslerin saatleri çakışıyor  bu derslere kayıt olabilir miyim?,Çakışan derslerim var ders kaydım onaylanır mı?
404,ders kaydımda çakışma olduğunda ne yapmalıyım,Çakışan derslerim var ders kaydım onaylanır mı?
405,Ders kaydıma nasıl onay alabilirim?,ders kaydı nasıl onaylatılıyor
406,Ders kaydıma nasıl onay alabilirim?,Ders kaydına kim onay veriyor?
407,ders kaydı nasıl onaylatılıyor,Ders kaydına kim onay veriyor?
408,Farklı bir programdan ders almak için ne yapabilirim?,farklı bir bölümden ders almak için ne yapılmalı
409,Farklı bir programdan ders almak için ne yapabilirim?,Başka bölümden ders almak için ne yapmalıyım?
410,farklı bir bölümden ders almak için ne yapılmalı,Başka bölümden ders almak için ne yapmalıyım?
411,Ön koşul (prerequisite) nedir?,ön koşul ne anlama geliyor 
412,Ön koşul (prerequisite) nedir?,Ön koşul ne demektir?
413,ön koşul ne anlama geliyor ,Ön koşul ne demektir?
414,Özel izin (Consent) nedir?,özel izin ne demek 
415,Özel izin (Consent) nedir?,Özel izin ne demektir?
416,özel izin ne demek ,Özel izin ne demektir?
417,Bir derse önkoşulunu sağlamadan kayıt olabilir miyim?,bir dersin önkoşulunu sağlamadığımda ne yapmam gerekir
418,Bir derse önkoşulunu sağlamadan kayıt olabilir miyim?,Ön koşulu sağlanmayan dersi alabilirmiyim?
419,bir dersin önkoşulunu sağlamadığımda ne yapmam gerekir,Ön koşulu sağlanmayan dersi alabilirmiyim?
420,Add-Drop (Ders Ekleme/Bırakma) nedir?,ders ekleme çıkarma ne anlama geliyor
421,Add-Drop (Ders Ekleme/Bırakma) nedir?,Add Drop ne demektir?
422,ders ekleme çıkarma ne anlama geliyor,Add Drop ne demektir?
423,Muafiyet nedir?,muafiyet ne anlama geliyor
424,Muafiyet nedir?,Muafiyet ne demektir?
425,muafiyet ne anlama geliyor,Muafiyet ne demektir?
426,Dersten çekilme (withdrawal) nedir?,dersten çekilmek istiyorum ne yapmam gerekiyor
427,Dersten çekilme (withdrawal) nedir?,Dersten çekilmek ne demektir?
428,dersten çekilmek istiyorum ne yapmam gerekiyor,Dersten çekilmek ne demektir?
429,Belirlenen tarihler arasında ders kaydı yapamadım ne yapmam gerekiyor ?,ders kaydımı yapamadım ne yapmam gerekiyor
430,Belirlenen tarihler arasında ders kaydı yapamadım ne yapmam gerekiyor ?,Ders kayıt süresini kaçırdım ne yapmalıyım?
431,ders kaydımı yapamadım ne yapmam gerekiyor,Ders kayıt süresini kaçırdım ne yapmalıyım?
432,Kayıt dondurma şartları nelerdir?,kaydımı nasıl dondurabilirim
433,Kayıt dondurma şartları nelerdir?,Okul dondurma şartları nedir?
434,kaydımı nasıl dondurabilirim,Okul dondurma şartları nedir?
435,Kayıt sildirme başvurusu nasıl yapılır?,kaydımı sildirmek istiyorum 
436,Kayıt sildirme başvurusu nasıl yapılır?,Kayıt sildirmek için ne yapmam gerekiyor?
437,kaydımı sildirmek istiyorum ,Kayıt sildirmek için ne yapmam gerekiyor?
438,İç yatay geçiş nedir?,iç yatay geçiş ne anlama geliyor
439,İç yatay geçiş nedir?,İç yatay geçiş ne demektir?
440,iç yatay geçiş ne anlama geliyor,İç yatay geçiş ne demektir?
441,Ders içerikleri ders programı  sınav tarihleri gibi bilgilere nereden ulaşabilirim?,derslerle ilgili içerik sınav gibi bilgilere nasıl ulaşırım
442,Ders içerikleri ders programı  sınav tarihleri gibi bilgilere nereden ulaşabilirim?,Derslerim hakkındaki bilgilere nasıl ulaşabilirim?
443,derslerle ilgili içerik sınav gibi bilgilere nasıl ulaşırım,Derslerim hakkındaki bilgilere nasıl ulaşabilirim?
444,Askerlik tecil işlemleri nasıl yapılır?,askerliğimi tecil ettirmek istiyorum ne yapabilirim
445,Askerlik tecil işlemleri nasıl yapılır?,Askerliğimi nasıl ertelerim?
446,askerliğimi tecil ettirmek istiyorum ne yapabilirim,Askerliğimi nasıl ertelerim?
447,BİLGİ Learn SIS veya bilgiedu.net servislerine erişim şifremi unuttum  nasıl öğrenebilirim?,okul sis şifremi unuttum ne yapabilirm
448,BİLGİ Learn SIS veya bilgiedu.net servislerine erişim şifremi unuttum  nasıl öğrenebilirim?,mail şifremi unuttum ne  yapmalıyım?
449,okul sis şifremi unuttum ne yapabilirm,mail şifremi unuttum ne  yapmalıyım?
450,Sınav programımı ne zaman ve nereden görebilirim?,sınavların takvimini nasıl öğrenebilirim
451,Sınav programımı ne zaman ve nereden görebilirim?,Sınav tarihleri nerede açıklanıyor?
452,sınavların takvimini nasıl öğrenebilirim,Sınav tarihleri nerede açıklanıyor?
453,Sınav sonuçlarımı nasıl görürüm?,sınavların sonuçlarını nereden görebilirim
454,Sınav sonuçlarımı nasıl görürüm?,Notlarımı nereden görebilirim?
455,sınavların sonuçlarını nereden görebilirim,Notlarımı nereden görebilirim?
456,Notlarıma nasıl itiraz edebilirim?,ders notuma itiraz etmek istiyorum nereye başvuracağım
457,Notlarıma nasıl itiraz edebilirim?,Sınav puanıma nasıl itiraz ederim?
458,ders notuma itiraz etmek istiyorum nereye başvuracağım,Sınav puanıma nasıl itiraz ederim?
459,Mezuniyet şartları nelerdir?,mezun olmak için şartlar nedir
460,Mezuniyet şartları nelerdir?,Mezuniyet koşulları nelerdir?
461,mezun olmak için şartlar nedir,Mezuniyet koşulları nelerdir?
462,Diplomamı ne zaman ve nereden alabilirim?,diplomamı almak istiyorum ne yapabilirim
463,Diplomamı ne zaman ve nereden alabilirim?,Diplomamı nasıl alabilirim?
464,diplomamı almak istiyorum ne yapabilirim,Diplomamı nasıl alabilirim?
465,Basılı diplomamı benim yerime başka birisi alabilir mi?,diplomamı bir başkası benim adıma alabilir mi
466,Basılı diplomamı benim yerime başka birisi alabilir mi?,Başkası diplomamı alabilir mi?
467,diplomamı bir başkası benim adıma alabilir mi,Başkası diplomamı alabilir mi?
468,Öğrenci Konseyi’nin amacı nedir?,öğrenci konseyi ne demek
469,Öğrenci Konseyi’nin amacı nedir?,Öğrenci konseyi ne yapar ?
470,öğrenci konseyi ne demek,Öğrenci konseyi ne yapar ?
471,Bölüm Temsilcisi olmak için ne yapmalıyım ?,bölüm temsilcisi olmak istiyorum ne yapmalıyım
472,Bölüm Temsilcisi olmak için ne yapmalıyım ?,Bölüm temsilciliği için şartlar nelerdir?
473,bölüm temsilcisi olmak istiyorum ne yapmalıyım,Bölüm temsilciliği için şartlar nelerdir?
474,Bölüm Temsilcisi olarak benden neler beklenir ?,bölüm temsilcisinin görevleri nelerdir
475,Bölüm Temsilcisi olarak benden neler beklenir ?,Bölüm temsilcisi ne yapar?
476,bölüm temsilcisinin görevleri nelerdir,Bölüm temsilcisi ne yapar?
477,Aday olmak için hangi şartları taşımalıyım ?,bölüm temsilcisi adayı olmak için hangi şartlar gerekli
478,Aday olmak için hangi şartları taşımalıyım ?,Başvuru şartları nelerdir?
479,bölüm temsilcisi adayı olmak için hangi şartlar gerekli,Başvuru şartları nelerdir?
480,Seçimler kaç yılda bir yapılır ?,öğrenci konseyi seçimleri kaç yılda bir yapılıyor
481,Seçimler kaç yılda bir yapılır ?,Seçimler ne zaman yapılıyor?
482,öğrenci konseyi seçimleri kaç yılda bir yapılıyor,Seçimler ne zaman yapılıyor?
483,Seçimler nasıl yapılır ?,öğrenci konseyi seçimleri süreci nasıl işliyor
484,Seçimler nasıl yapılır ?,Seçim aşamaları nelerdir?
485,öğrenci konseyi seçimleri süreci nasıl işliyor,Seçim aşamaları nelerdir?
486,Seçimlerde kimler oy kullanabilir ?,seçimlerde kimler oy kullanma hakkına sahiptir
487,Seçimlerde kimler oy kullanabilir ?,Seçimlerde oy kullanabilme koşulu nedir?
488,seçimlerde kimler oy kullanma hakkına sahiptir,Seçimlerde oy kullanabilme koşulu nedir?
489,Konsey başkanı nasıl seçilir ?,konsey başkanı nasıl seçilir
490,Konsey başkanı nasıl seçilir ?,Konsey başkanı seçilme koşulu nedir?
491,konsey başkanı nasıl seçilir,Konsey başkanı seçilme koşulu nedir?
492,Üniversitemizde kaç öğrenci kulübü var?,üniversite hangi öğrenci kulüpleri var
493,Üniversitemizde kaç öğrenci kulübü var?,Öğrenci kulüplerine nereden bakabilirim?
494,üniversite hangi öğrenci kulüpleri var,Öğrenci kulüplerine nereden bakabilirim?
495,Bir kulübe nasıl üye olabilirim?,Öğrenci kulüplerine üyelik nasıl oluyor
496,Bir kulübe nasıl üye olabilirim?,Öğrenci kulübüne nasıl kayıt yapılır?
497,Öğrenci kulüplerine üyelik nasıl oluyor,Öğrenci kulübüne nasıl kayıt yapılır?
498,Birden fazla kulübe üye olabilir miyim?,kaç kulübe üye olabilirim
499,Birden fazla kulübe üye olabilir miyim?,bir kulübe kayıtlıyken başka kulübe kayıt yaptırabilirmiyim?
500,kaç kulübe üye olabilirim,bir kulübe kayıtlıyken başka kulübe kayıt yaptırabilirmiyim?
501,Yeni bir kulüp nasıl kurabilirim?,yeni bir kulüp kurmak için ne yapmam gerekiyor
502,Yeni bir kulüp nasıl kurabilirim?,Kulüp kurma şartları nelerdir?
503,yeni bir kulüp kurmak için ne yapmam gerekiyor,Kulüp kurma şartları nelerdir?
504,Kulüp olarak kampüste stant açmak için ne yapmalıyız?,kulüp olarak nasıl masa açabilirim
505,Kulüp olarak kampüste stant açmak için ne yapmalıyız?,Kulüp standı nasıl açabilirim?
506,kulüp olarak nasıl masa açabilirim,Kulüp standı nasıl açabilirim?
507,Kulüp olarak kampüste etkinlik düzenlemek istersek ne yapmalıyız?,kulüp olarak kampüs içinde etkinlik yapmak istiyoruz ne yapmamız gerekli
508,Kulüp olarak kampüste etkinlik düzenlemek istersek ne yapmalıyız?,kampüste nasıl kulüp etkinliği yapabiliriz?
509,kulüp olarak kampüs içinde etkinlik yapmak istiyoruz ne yapmamız gerekli,kampüste nasıl kulüp etkinliği yapabiliriz?
510,Kulüp olarak kampüs dışında etkinlik düzenlemek için ne yapmalıyız?,kulüp olarak kampüs dışında etkinlik yapmak istiyoruz ne yapmamız gerekli
511,Kulüp olarak kampüs dışında etkinlik düzenlemek için ne yapmalıyız?,kampüs dışında nasıl kulüp etkinliği yapabiliriz?
512,kulüp olarak kampüs dışında etkinlik yapmak istiyoruz ne yapmamız gerekli,kampüs dışında nasıl kulüp etkinliği yapabiliriz?
513,Etkinliğimiz için sponsor alabilir miyiz?,Kulüp etkinlikleri için nasıl sponsor buluruz
514,Etkinliğimiz için sponsor alabilir miyiz?,etkinlikler için destek alabiliyormuyuz?
515,Kulüp etkinlikleri için nasıl sponsor buluruz,etkinlikler için destek alabiliyormuyuz?
516,Öğrenci kulüplerine sağlanan imkanlar nelerdir?,öğrenci kulüplerine ne tip imkanlar sunuluyor
517,Öğrenci kulüplerine sağlanan imkanlar nelerdir?,öğrenci kulüplerine imkan sağlanıyor mu?
518,öğrenci kulüplerine ne tip imkanlar sunuluyor,öğrenci kulüplerine imkan sağlanıyor mu?
519,Psikolojik Danışmanlık Birimi’nin hizmetleri ücretli mi?,psikolojik danışma birimi ücretli mi
520,Psikolojik Danışmanlık Birimi’nin hizmetleri ücretli mi?,psikolojik destek almak ücretli mi?
521,psikolojik danışma birimi ücretli mi,psikolojik destek almak ücretli mi?
522,Psikolojik Danışmanlık Birimi’nden nasıl randevu alabilirim?,psikolojik danışma için nasıl randevu alacağız
523,Psikolojik Danışmanlık Birimi’nden nasıl randevu alabilirim?,psikolojik danışmandan nasıl randevu alınır?
524,psikolojik danışma için nasıl randevu alacağız,psikolojik danışmandan nasıl randevu alınır?
525,Psikolojik Danışmanlık Birimi’nde anlatacaklarım başkaları ile paylaşılır mı?,psikolojik danışma biriminde anlattığım şeyler bir başkasıyla paylaşılır mı
526,Psikolojik Danışmanlık Birimi’nde anlatacaklarım başkaları ile paylaşılır mı?,psikolojik danışmanlık biriminde konuştuklarım paylaşılıyor mu?
527,psikolojik danışma biriminde anlattığım şeyler bir başkasıyla paylaşılır mı,psikolojik danışmanlık biriminde konuştuklarım paylaşılıyor mu?
528,BİLGİ mezunuyum  Psikolojik Danışmanlık Birimi’nden yararlanabilir miyim?,mezun öğrenciler psikolojik danışma biriminden faydalanabilir mi
529,BİLGİ mezunuyum  Psikolojik Danışmanlık Birimi’nden yararlanabilir miyim?,Mezunum psikolojik destek alabilirmiyim?
530,mezun öğrenciler psikolojik danışma biriminden faydalanabilir mi,Mezunum psikolojik destek alabilirmiyim?
531,Kuştepe Spor Salon'nun programına nereden ulaşabilirim?,spor salonundaki programlara nasıl ulaşırım
532,Kuştepe Spor Salon'nun programına nereden ulaşabilirim?,spor salonuna nasıl ulaşabilirim?
533,spor salonundaki programlara nasıl ulaşırım,spor salonuna nasıl ulaşabilirim?
534,Kuştepe Spor Salonunu nasıl kullanabilirim?,spor salonuna nasıl kayıt olurum
535,Kuştepe Spor Salonunu nasıl kullanabilirim?,Spor salonuna nereden kayıt olabilirim?
536,spor salonuna nasıl kayıt olurum,Spor salonuna nereden kayıt olabilirim?
537,Kuştepe Spor Salonu'nu rezerve ederken nelere dikkat etmeliyim?,spor salonu rezervasyonunda neler önemlidir
538,Kuştepe Spor Salonu'nu rezerve ederken nelere dikkat etmeliyim?,Spor salonu kaydında neler önemlidir?
539,spor salonu rezervasyonunda neler önemlidir,Spor salonu kaydında neler önemlidir?
